object_id,natural_week,start_date,quantity
1_1_5_14,139,9/15/2019,191
1_1_5_14,138,9/22/2019,223
1_1_5_14,137,9/29/2019,240
1_1_5_14,136,10/6/2019,217
1_1_5_14,135,10/13/2019,220
1_1_5_14,134,10/20/2019,265
1_1_5_14,133,10/27/2019,257
1_1_5_14,132,11/3/2019,283
1_1_5_14,131,11/10/2019,372
1_1_5_14,130,11/17/2019,438
1_1_5_14,129,11/24/2019,336
1_1_5_14,128,12/1/2019,503
1_1_5_14,127,12/8/2019,803
1_1_5_14,126,12/15/2019,952
1_1_5_14,125,12/22/2019,950
1_1_5_14,124,12/29/2019,385
1_1_5_14,123,1/5/2020,161
1_1_5_14,122,1/12/2020,113
1_1_5_14,121,1/19/2020,81
1_1_5_14,120,1/26/2020,98
1_1_5_14,119,2/2/2020,89
1_1_5_14,118,2/9/2020,93
1_1_5_14,117,2/16/2020,68
1_1_5_14,116,2/23/2020,45
1_1_5_14,115,3/1/2020,46
1_1_5_14,114,3/8/2020,53
1_1_5_14,113,3/15/2020,40
1_1_5_14,112,3/22/2020,9
1_1_5_14,111,3/29/2020,4
1_1_5_14,102,5/31/2020,6
1_1_5_14,101,6/7/2020,14
1_1_5_14,100,6/14/2020,29
1_1_5_14,99,6/21/2020,55
1_1_5_14,98,6/28/2020,72
1_1_5_14,97,7/5/2020,64
1_1_5_14,96,7/12/2020,58
1_1_5_14,95,7/19/2020,69
1_1_5_14,94,7/26/2020,57
1_1_5_14,93,8/2/2020,50
1_1_5_14,92,8/9/2020,54
1_1_5_14,91,8/16/2020,59
1_1_5_14,90,8/23/2020,49
1_1_5_14,89,8/30/2020,89
1_1_5_14,88,9/6/2020,73
1_1_5_14,87,9/13/2020,82
1_1_5_14,86,9/20/2020,89
1_1_5_14,85,9/27/2020,84
1_1_5_14,84,10/4/2020,96
1_1_5_14,83,10/11/2020,82
1_1_5_14,82,10/18/2020,85
1_1_5_14,81,10/25/2020,74
1_1_5_14,80,11/1/2020,94
1_1_5_14,79,11/8/2020,133
1_1_5_14,78,11/15/2020,117
1_1_5_14,77,11/22/2020,99
1_1_5_14,76,11/29/2020,142
1_1_5_14,75,12/6/2020,183
1_1_5_14,74,12/13/2020,285
1_1_5_14,73,12/20/2020,270
1_1_5_14,72,12/27/2020,169
1_1_5_14,71,1/3/2021,80
1_1_5_14,70,1/10/2021,49
1_1_5_14,69,1/17/2021,28
1_1_5_14,68,1/24/2021,41
1_1_5_14,67,1/31/2021,29
1_1_5_14,66,2/7/2021,27
1_1_5_14,65,2/14/2021,30
1_1_5_14,64,2/21/2021,44
1_1_5_14,63,2/28/2021,35
1_1_5_14,62,3/7/2021,22
1_1_5_14,61,3/14/2021,19
1_1_5_14,60,3/21/2021,25
1_1_5_14,59,3/28/2021,24
1_1_5_14,58,4/4/2021,24
1_1_5_14,57,4/11/2021,22
1_1_5_14,56,4/18/2021,18
1_1_5_14,55,4/25/2021,20
1_1_5_14,54,5/2/2021,30
1_1_5_14,53,5/9/2021,57
1_1_5_14,52,5/16/2021,30
1_1_5_14,51,5/23/2021,31
1_1_5_14,50,5/30/2021,37
1_1_5_14,49,6/6/2021,30
1_1_5_14,48,6/13/2021,39
1_1_5_14,47,6/20/2021,71
1_1_5_14,46,6/27/2021,66
1_1_5_14,45,7/4/2021,89
1_1_5_14,44,7/11/2021,124
1_1_5_14,43,7/18/2021,136
1_1_5_14,42,7/25/2021,140
1_1_5_14,41,8/1/2021,136
1_1_5_14,40,8/8/2021,148
1_1_5_14,39,8/15/2021,134
1_1_5_14,38,8/22/2021,160
1_1_5_14,37,8/29/2021,138
1_1_5_14,36,9/5/2021,155
1_1_5_14,35,9/12/2021,184
1_1_5_14,34,9/19/2021,175
1_1_5_14,33,9/26/2021,171
1_1_5_14,32,10/3/2021,166
1_1_5_14,31,10/10/2021,175
1_1_5_14,30,10/17/2021,167
1_1_5_14,29,10/24/2021,211
1_1_5_14,28,10/31/2021,215
1_1_5_14,27,11/7/2021,273
1_1_5_14,26,11/14/2021,303
1_1_5_14,25,11/21/2021,284
1_1_5_14,24,11/28/2021,302
1_1_5_14,23,12/5/2021,429
1_1_5_14,22,12/12/2021,477
1_1_5_14,21,12/19/2021,650
1_1_5_14,20,12/26/2021,262
1_1_5_14,19,1/2/2022,117
1_1_5_14,18,1/9/2022,51
1_1_5_14,17,1/16/2022,61
1_1_5_14,16,1/23/2022,47
1_1_5_14,15,1/30/2022,41
1_1_5_14,14,2/6/2022,70
1_1_5_14,13,2/13/2022,60
1_1_5_14,12,2/20/2022,56
1_1_5_14,11,2/27/2022,42
1_1_5_14,10,3/6/2022,36
1_1_5_14,9,3/13/2022,36
1_1_5_14,8,3/20/2022,47
1_1_5_14,7,3/27/2022,23
1_1_5_14,6,4/3/2022,27
